game_name,timestamp,hourly_channels,hourly_viewership,views_per_channel
ARK: Survival Ascended,2024-04-20 06:00:00+00:00,1,4,4.0
ARK: Survival Ascended,2024-04-20 07:00:00+00:00,1,4,4.0
ARK: Survival Ascended,2024-04-20 08:00:00+00:00,1,3,3.0
ARK: Survival Ascended,2024-04-20 09:00:00+00:00,1,985,985.0
ARK: Survival Ascended,2024-04-20 10:00:00+00:00,1,11,11.0
ARK: Survival Ascended,2024-04-20 11:00:00+00:00,3,177,59.0
ARK: Survival Ascended,2024-04-20 12:00:00+00:00,0,0,
ARK: Survival Ascended,2024-04-20 13:00:00+00:00,2,207,103.5
ARK: Survival Ascended,2024-04-20 14:00:00+00:00,13,529,40.692
ARK: Survival Ascended,2024-04-20 15:00:00+00:00,26,2559,98.423
ARK: Survival Ascended,2024-04-20 16:00:00+00:00,7,273,39.0
ARK: Survival Ascended,2024-04-20 17:00:00+00:00,17,421,24.765
ARK: Survival Ascended,2024-04-20 18:00:00+00:00,16,332,20.75
ARK: Survival Ascended,2024-04-20 19:00:00+00:00,10,55,5.5
ASMR,2024-04-18 20:00:00+00:00,2,484,242.0
ASMR,2024-04-18 21:00:00+00:00,0,0,
ASMR,2024-04-18 22:00:00+00:00,2,44,22.0
ASMR,2024-04-18 23:00:00+00:00,1,109,109.0
ASMR,2024-04-19 00:00:00+00:00,0,0,
ASMR,2024-04-19 01:00:00+00:00,0,0,
ASMR,2024-04-19 02:00:00+00:00,0,0,
ASMR,2024-04-19 03:00:00+00:00,0,0,
ASMR,2024-04-19 04:00:00+00:00,2,181,90.5
ASMR,2024-04-19 05:00:00+00:00,1,40,40.0
ASMR,2024-04-19 06:00:00+00:00,0,0,
ASMR,2024-04-19 07:00:00+00:00,1,39,39.0
ASMR,2024-04-19 08:00:00+00:00,1,9,9.0
ASMR,2024-04-19 09:00:00+00:00,1,7,7.0
ASMR,2024-04-19 10:00:00+00:00,0,0,
ASMR,2024-04-19 11:00:00+00:00,0,0,
ASMR,2024-04-19 12:00:00+00:00,2,613,306.5
ASMR,2024-04-19 13:00:00+00:00,2,64,32.0
ASMR,2024-04-19 14:00:00+00:00,1,3,3.0
ASMR,2024-04-19 15:00:00+00:00,2,5,2.5
ASMR,2024-04-19 16:00:00+00:00,4,162,40.5
ASMR,2024-04-19 17:00:00+00:00,3,225,75.0
ASMR,2024-04-19 18:00:00+00:00,2,67,33.5
ASMR,2024-04-19 19:00:00+00:00,1,50,50.0
ASMR,2024-04-19 20:00:00+00:00,2,89,44.5
ASMR,2024-04-19 21:00:00+00:00,1,388,388.0
ASMR,2024-04-19 22:00:00+00:00,2,86,43.0
ASMR,2024-04-19 23:00:00+00:00,2,17,8.5
ASMR,2024-04-20 00:00:00+00:00,1,166,166.0
ASMR,2024-04-20 01:00:00+00:00,2,264,132.0
ASMR,2024-04-20 02:00:00+00:00,2,136,68.0
ASMR,2024-04-20 03:00:00+00:00,3,56,18.667
ASMR,2024-04-20 04:00:00+00:00,2,247,123.5
ASMR,2024-04-20 05:00:00+00:00,0,0,
ASMR,2024-04-20 06:00:00+00:00,0,0,
ASMR,2024-04-20 07:00:00+00:00,0,0,
ASMR,2024-04-20 08:00:00+00:00,2,119,59.5
ASMR,2024-04-20 09:00:00+00:00,2,56,28.0
ASMR,2024-04-20 10:00:00+00:00,0,0,
ASMR,2024-04-20 11:00:00+00:00,0,0,
ASMR,2024-04-20 12:00:00+00:00,2,10,5.0
ASMR,2024-04-20 13:00:00+00:00,3,84,28.0
ASMR,2024-04-20 14:00:00+00:00,4,1033,258.25
ASMR,2024-04-20 15:00:00+00:00,2,344,172.0
ASMR,2024-04-20 16:00:00+00:00,3,1333,444.333
ASMR,2024-04-20 17:00:00+00:00,11,1419,129.0
ASMR,2024-04-20 18:00:00+00:00,16,2543,158.938
ASMR,2024-04-20 19:00:00+00:00,8,444,55.5
Age of Empires II,2024-04-20 05:00:00+00:00,1,1,1.0
Age of Empires II,2024-04-20 06:00:00+00:00,1,7,7.0
Age of Empires II,2024-04-20 07:00:00+00:00,1,1,1.0
Age of Empires II,2024-04-20 08:00:00+00:00,0,0,
Age of Empires II,2024-04-20 09:00:00+00:00,0,0,
Age of Empires II,2024-04-20 10:00:00+00:00,2,5,2.5
Age of Empires II,2024-04-20 11:00:00+00:00,0,0,
Age of Empires II,2024-04-20 12:00:00+00:00,1,711,711.0
Age of Empires II,2024-04-20 13:00:00+00:00,2,218,109.0
Age of Empires II,2024-04-20 14:00:00+00:00,1,13,13.0
Age of Empires II,2024-04-20 15:00:00+00:00,5,2407,481.4
Age of Empires II,2024-04-20 16:00:00+00:00,9,396,44.0
Age of Empires II,2024-04-20 17:00:00+00:00,12,405,33.75
Age of Empires II,2024-04-20 18:00:00+00:00,18,189,10.5
Age of Empires II,2024-04-20 19:00:00+00:00,24,529,22.042
Albion Online,2024-04-19 13:00:00+00:00,1,10,10.0
Albion Online,2024-04-19 14:00:00+00:00,0,0,
Albion Online,2024-04-19 15:00:00+00:00,0,0,
Albion Online,2024-04-19 16:00:00+00:00,0,0,
Albion Online,2024-04-19 17:00:00+00:00,0,0,
Albion Online,2024-04-19 18:00:00+00:00,0,0,
Albion Online,2024-04-19 19:00:00+00:00,0,0,
Albion Online,2024-04-19 20:00:00+00:00,0,0,
Albion Online,2024-04-19 21:00:00+00:00,0,0,
Albion Online,2024-04-19 22:00:00+00:00,2,50,25.0
Albion Online,2024-04-19 23:00:00+00:00,0,0,
Albion Online,2024-04-20 00:00:00+00:00,0,0,
