game_name,game_genres
Just Chatting,Indie
League of Legends,Role-playing (RPG)
Grand Theft Auto V,Shooter
Fortnite,Shooter
Sports,Sport
Rust,Shooter
Counter-Strike,Shooter
VALORANT,Strategy
Dota 2,Strategy
EA Sports FC 24,Simulator
Gray Zone Warfare,Shooter
Overwatch 2,Shooter
Call of Duty: Warzone,Shooter
Minecraft,Simulator
Suck Up!,Role-playing (RPG)
Teamfight Tactics,Strategy
Dead by Daylight,Strategy
World of Warcraft,Role-playing (RPG)
Music,NA
ELDEN RING,Role-playing (RPG)
Apex Legends,Shooter
Trials Rising,Platform
World of Tanks,Shooter
Casino,Card & Board Game
Hearthstone,Strategy
No Rest for the Wicked,Role-playing (RPG)
Tom Clancy's Rainbow Six Siege,Shooter
Call of Duty: Modern Warfare III,Shooter
Special Events,NA
Slots,NA
Virtual Casino,Card & Board Game
Escape from Tarkov,Shooter
Marvel Snap,Strategy
Destiny 2,Shooter
Lost Ark,Role-playing (RPG)
Fallout 76,Shooter
Noita,Shooter
Path of Exile,Role-playing (RPG)
Brawlhalla,Fighting
Fallout 4,Shooter
PUBG: BATTLEGROUNDS,Shooter
Travel & Outdoors,NA
UNDERTALE,Indie
Chess,Strategy
XDefiant,Shooter
Street Fighter 6,Fighting
Black Desert,Role-playing (RPG)
Art,NA
Stardew Valley,Role-playing (RPG)
ASMR,NA
Brawl Stars,Shooter
Cursorblade,Shooter
RimWorld,Real Time Strategy (RTS)
Super Smash Bros. Ultimate,Fighting
Tibia,Role-playing (RPG)
HELLDIVERS 2,Indie
Sea of Thieves,Simulator
Genshin Impact,Role-playing (RPG)
Rise Online,Role-playing (RPG)
Retro,Indie
Sketchy's Contract,Adventure
Old School RuneScape,Role-playing (RPG)
Rocket League,Racing
FINAL FANTASY XIV ONLINE,Role-playing (RPG)
Age of Empires II,Strategy
Lethal Company,Indie
Midnight Monitor: Aldercourt,Simulator
F1 23,Racing
Red Dead Redemption 2,Shooter
ARK: Survival Ascended,Shooter
StarCraft II,Adventure
Fallout: New Vegas,Shooter
EVE Online,Role-playing (RPG)
State of Decay 2,Role-playing (RPG)
Always On,NA
Reksio i Skarb Piratów,Shooter
ROBLOX,Shooter
Manor Lords,Real Time Strategy (RTS)
Star Citizen,Shooter
Games + Demos,NA
TEKKEN 8,Adventure
DayZ,Shooter
"Animals, Aquariums, and Zoos",NA
Anime Squad,Indie
Yu-Gi-Oh! TRADING CARD GAME,Card & Board Game
World of Warships,Shooter
Loathful,Adventure
Albion Online,Role-playing (RPG)
Mechabellum,Strategy
"Pools, Hot Tubs, and Beaches",NA
iRacing,Racing
Hunt: Showdown,Shooter
Call of Duty,Shooter
SMITE,Adventure
SCUM,Adventure
Metin2,Role-playing (RPG)
Honkai: Star Rail,Role-playing (RPG)
I'm Only Sleeping,Point-and-click
Software and Game Development,NA
Magic: The Gathering,Strategy
Just Chatting,Simulator
League of Legends,Strategy
Grand Theft Auto V,Role-playing (RPG)
Rust,Role-playing (RPG)
VALORANT,Shooter
Dota 2,MOBA
EA Sports FC 24,Sport
Gray Zone Warfare,Adventure
Minecraft,Adventure
Suck Up!,Indie
Teamfight Tactics,Turn-based strategy (TBS)
World of Warcraft,Adventure
ELDEN RING,Adventure
Trials Rising,Racing
World of Tanks,Simulator
Hearthstone,Turn-based strategy (TBS)
No Rest for the Wicked,Strategy
Tom Clancy's Rainbow Six Siege,Tactical
Escape from Tarkov,Role-playing (RPG)
Marvel Snap,Card & Board Game
Destiny 2,Role-playing (RPG)
Lost Ark,Hack and slash/Beat 'em up
Fallout 76,Role-playing (RPG)
Noita,Role-playing (RPG)
Path of Exile,Hack and slash/Beat 'em up
Brawlhalla,Platform
Fallout 4,Role-playing (RPG)
PUBG: BATTLEGROUNDS,Strategy
UNDERTALE,Role-playing (RPG)
Chess,Card & Board Game
Street Fighter 6,Arcade
Black Desert,Hack and slash/Beat 'em up
Stardew Valley,Simulator
Brawl Stars,Strategy
Cursorblade,Indie
