timestamp,hourly_channels,hourly_viewership,channels_change,viewership_change,game_name
2024-04-20 06:00:00+00:00,1,4,,,ARK: Survival Ascended
2024-04-20 07:00:00+00:00,1,4,0.0,0.0,ARK: Survival Ascended
2024-04-20 08:00:00+00:00,1,3,0.0,-1.0,ARK: Survival Ascended
2024-04-20 09:00:00+00:00,1,985,0.0,982.0,ARK: Survival Ascended
2024-04-20 10:00:00+00:00,1,11,0.0,-974.0,ARK: Survival Ascended
2024-04-20 11:00:00+00:00,3,177,2.0,166.0,ARK: Survival Ascended
2024-04-20 12:00:00+00:00,0,0,-3.0,-177.0,ARK: Survival Ascended
2024-04-20 13:00:00+00:00,2,207,2.0,207.0,ARK: Survival Ascended
2024-04-20 14:00:00+00:00,13,529,11.0,322.0,ARK: Survival Ascended
2024-04-20 15:00:00+00:00,26,2559,13.0,2030.0,ARK: Survival Ascended
2024-04-20 16:00:00+00:00,7,273,-19.0,-2286.0,ARK: Survival Ascended
2024-04-20 17:00:00+00:00,17,421,10.0,148.0,ARK: Survival Ascended
2024-04-20 18:00:00+00:00,16,332,-1.0,-89.0,ARK: Survival Ascended
2024-04-20 19:00:00+00:00,10,55,-6.0,-277.0,ARK: Survival Ascended
2024-04-18 20:00:00+00:00,2,484,,,ASMR
2024-04-18 21:00:00+00:00,0,0,-2.0,-484.0,ASMR
2024-04-18 22:00:00+00:00,2,44,2.0,44.0,ASMR
2024-04-18 23:00:00+00:00,1,109,-1.0,65.0,ASMR
2024-04-19 00:00:00+00:00,0,0,-1.0,-109.0,ASMR
2024-04-19 01:00:00+00:00,0,0,0.0,0.0,ASMR
2024-04-19 02:00:00+00:00,0,0,0.0,0.0,ASMR
2024-04-19 03:00:00+00:00,0,0,0.0,0.0,ASMR
2024-04-19 04:00:00+00:00,2,181,2.0,181.0,ASMR
2024-04-19 05:00:00+00:00,1,40,-1.0,-141.0,ASMR
2024-04-19 06:00:00+00:00,0,0,-1.0,-40.0,ASMR
2024-04-19 07:00:00+00:00,1,39,1.0,39.0,ASMR
2024-04-19 08:00:00+00:00,1,9,0.0,-30.0,ASMR
2024-04-19 09:00:00+00:00,1,7,0.0,-2.0,ASMR
2024-04-19 10:00:00+00:00,0,0,-1.0,-7.0,ASMR
2024-04-19 11:00:00+00:00,0,0,0.0,0.0,ASMR
2024-04-19 12:00:00+00:00,2,613,2.0,613.0,ASMR
2024-04-19 13:00:00+00:00,2,64,0.0,-549.0,ASMR
2024-04-19 14:00:00+00:00,1,3,-1.0,-61.0,ASMR
2024-04-19 15:00:00+00:00,2,5,1.0,2.0,ASMR
2024-04-19 16:00:00+00:00,4,162,2.0,157.0,ASMR
2024-04-19 17:00:00+00:00,3,225,-1.0,63.0,ASMR
2024-04-19 18:00:00+00:00,2,67,-1.0,-158.0,ASMR
2024-04-19 19:00:00+00:00,1,50,-1.0,-17.0,ASMR
2024-04-19 20:00:00+00:00,2,89,1.0,39.0,ASMR
2024-04-19 21:00:00+00:00,1,388,-1.0,299.0,ASMR
2024-04-19 22:00:00+00:00,2,86,1.0,-302.0,ASMR
2024-04-19 23:00:00+00:00,2,17,0.0,-69.0,ASMR
2024-04-20 00:00:00+00:00,1,166,-1.0,149.0,ASMR
2024-04-20 01:00:00+00:00,2,264,1.0,98.0,ASMR
2024-04-20 02:00:00+00:00,2,136,0.0,-128.0,ASMR
2024-04-20 03:00:00+00:00,3,56,1.0,-80.0,ASMR
2024-04-20 04:00:00+00:00,2,247,-1.0,191.0,ASMR
2024-04-20 05:00:00+00:00,0,0,-2.0,-247.0,ASMR
2024-04-20 06:00:00+00:00,0,0,0.0,0.0,ASMR
2024-04-20 07:00:00+00:00,0,0,0.0,0.0,ASMR
2024-04-20 08:00:00+00:00,2,119,2.0,119.0,ASMR
2024-04-20 09:00:00+00:00,2,56,0.0,-63.0,ASMR
2024-04-20 10:00:00+00:00,0,0,-2.0,-56.0,ASMR
2024-04-20 11:00:00+00:00,0,0,0.0,0.0,ASMR
2024-04-20 12:00:00+00:00,2,10,2.0,10.0,ASMR
2024-04-20 13:00:00+00:00,3,84,1.0,74.0,ASMR
2024-04-20 14:00:00+00:00,4,1033,1.0,949.0,ASMR
2024-04-20 15:00:00+00:00,2,344,-2.0,-689.0,ASMR
2024-04-20 16:00:00+00:00,3,1333,1.0,989.0,ASMR
2024-04-20 17:00:00+00:00,11,1419,8.0,86.0,ASMR
2024-04-20 18:00:00+00:00,16,2543,5.0,1124.0,ASMR
2024-04-20 19:00:00+00:00,8,444,-8.0,-2099.0,ASMR
2024-04-20 05:00:00+00:00,1,1,,,Age of Empires II
2024-04-20 06:00:00+00:00,1,7,0.0,6.0,Age of Empires II
2024-04-20 07:00:00+00:00,1,1,0.0,-6.0,Age of Empires II
2024-04-20 08:00:00+00:00,0,0,-1.0,-1.0,Age of Empires II
2024-04-20 09:00:00+00:00,0,0,0.0,0.0,Age of Empires II
2024-04-20 10:00:00+00:00,2,5,2.0,5.0,Age of Empires II
2024-04-20 11:00:00+00:00,0,0,-2.0,-5.0,Age of Empires II
2024-04-20 12:00:00+00:00,1,711,1.0,711.0,Age of Empires II
2024-04-20 13:00:00+00:00,2,218,1.0,-493.0,Age of Empires II
2024-04-20 14:00:00+00:00,1,13,-1.0,-205.0,Age of Empires II
2024-04-20 15:00:00+00:00,5,2407,4.0,2394.0,Age of Empires II
2024-04-20 16:00:00+00:00,9,396,4.0,-2011.0,Age of Empires II
2024-04-20 17:00:00+00:00,12,405,3.0,9.0,Age of Empires II
2024-04-20 18:00:00+00:00,18,189,6.0,-216.0,Age of Empires II
2024-04-20 19:00:00+00:00,24,529,6.0,340.0,Age of Empires II
2024-04-19 13:00:00+00:00,1,10,,,Albion Online
2024-04-19 14:00:00+00:00,0,0,-1.0,-10.0,Albion Online
2024-04-19 15:00:00+00:00,0,0,0.0,0.0,Albion Online
2024-04-19 16:00:00+00:00,0,0,0.0,0.0,Albion Online
2024-04-19 17:00:00+00:00,0,0,0.0,0.0,Albion Online
2024-04-19 18:00:00+00:00,0,0,0.0,0.0,Albion Online
2024-04-19 19:00:00+00:00,0,0,0.0,0.0,Albion Online
2024-04-19 20:00:00+00:00,0,0,0.0,0.0,Albion Online
2024-04-19 21:00:00+00:00,0,0,0.0,0.0,Albion Online
2024-04-19 22:00:00+00:00,2,50,2.0,50.0,Albion Online
2024-04-19 23:00:00+00:00,0,0,-2.0,-50.0,Albion Online
2024-04-20 00:00:00+00:00,0,0,0.0,0.0,Albion Online
2024-04-20 01:00:00+00:00,0,0,0.0,0.0,Albion Online
2024-04-20 02:00:00+00:00,2,21,2.0,21.0,Albion Online
2024-04-20 03:00:00+00:00,2,265,0.0,244.0,Albion Online
2024-04-20 04:00:00+00:00,0,0,-2.0,-265.0,Albion Online
2024-04-20 05:00:00+00:00,0,0,0.0,0.0,Albion Online
2024-04-20 06:00:00+00:00,0,0,0.0,0.0,Albion Online
2024-04-20 07:00:00+00:00,2,105,2.0,105.0,Albion Online
2024-04-20 08:00:00+00:00,1,6,-1.0,-99.0,Albion Online
2024-04-20 09:00:00+00:00,2,69,1.0,63.0,Albion Online
2024-04-20 10:00:00+00:00,1,465,-1.0,396.0,Albion Online
2024-04-20 11:00:00+00:00,2,78,1.0,-387.0,Albion Online
2024-04-20 12:00:00+00:00,2,70,0.0,-8.0,Albion Online
2024-04-20 13:00:00+00:00,5,181,3.0,111.0,Albion Online
2024-04-20 14:00:00+00:00,2,339,-3.0,158.0,Albion Online
2024-04-20 15:00:00+00:00,11,1036,9.0,697.0,Albion Online
2024-04-20 16:00:00+00:00,13,492,2.0,-544.0,Albion Online
2024-04-20 17:00:00+00:00,18,518,5.0,26.0,Albion Online
2024-04-20 18:00:00+00:00,20,188,2.0,-330.0,Albion Online
2024-04-20 19:00:00+00:00,14,462,-6.0,274.0,Albion Online
2024-04-18 20:00:00+00:00,1,125,,,Always On
2024-04-18 21:00:00+00:00,1,16,0.0,-109.0,Always On
2024-04-18 22:00:00+00:00,2,123,1.0,107.0,Always On
2024-04-18 23:00:00+00:00,2,98,0.0,-25.0,Always On
2024-04-19 00:00:00+00:00,0,0,-2.0,-98.0,Always On
2024-04-19 01:00:00+00:00,3,101,3.0,101.0,Always On
2024-04-19 02:00:00+00:00,0,0,-3.0,-101.0,Always On
2024-04-19 03:00:00+00:00,2,49,2.0,49.0,Always On
2024-04-19 04:00:00+00:00,1,35,-1.0,-14.0,Always On
2024-04-19 05:00:00+00:00,1,41,0.0,6.0,Always On
2024-04-19 06:00:00+00:00,4,110,3.0,69.0,Always On
2024-04-19 07:00:00+00:00,2,58,-2.0,-52.0,Always On
2024-04-19 08:00:00+00:00,2,35,0.0,-23.0,Always On
2024-04-19 09:00:00+00:00,1,47,-1.0,12.0,Always On
2024-04-19 10:00:00+00:00,1,139,0.0,92.0,Always On
2024-04-19 11:00:00+00:00,2,17,1.0,-122.0,Always On
2024-04-19 12:00:00+00:00,4,119,2.0,102.0,Always On
2024-04-19 13:00:00+00:00,3,137,-1.0,18.0,Always On
2024-04-19 14:00:00+00:00,2,89,-1.0,-48.0,Always On
2024-04-19 15:00:00+00:00,1,30,-1.0,-59.0,Always On
2024-04-19 16:00:00+00:00,5,609,4.0,579.0,Always On
2024-04-19 17:00:00+00:00,4,78,-1.0,-531.0,Always On
2024-04-19 18:00:00+00:00,1,21,-3.0,-57.0,Always On
2024-04-19 19:00:00+00:00,1,137,0.0,116.0,Always On
2024-04-19 20:00:00+00:00,2,48,1.0,-89.0,Always On
2024-04-19 21:00:00+00:00,2,38,0.0,-10.0,Always On
2024-04-19 22:00:00+00:00,0,0,-2.0,-38.0,Always On
2024-04-19 23:00:00+00:00,2,53,2.0,53.0,Always On
2024-04-20 00:00:00+00:00,3,248,1.0,195.0,Always On
